@RELATION CriterioProvas  
@ATTRIBUTE P1 integer
@ATTRIBUTE P2 integer
@ATTRIBUTE PercFalta integer
@ATTRIBUTE resultado {Bom,Ruim}
@DATA 
8,8,35,Ruim
6,10,25,Ruim
4,3,48,Ruim
7,3,35,Ruim
1,0,31,Ruim
5,4,38,Ruim
9,1,15,Ruim
3,3,10,Ruim
5,9,28,Ruim
0,9,1,Bom
6,9,27,Ruim
5,1,31,Ruim
8,9,9,Bom
2,2,20,Ruim
8,0,39,Ruim
6,8,40,Ruim
4,0,18,Ruim
5,6,12,Bom
3,5,43,Ruim
2,3,42,Ruim
4,10,46,Ruim
3,1,29,Ruim
2,0,39,Ruim
1,6,15,Ruim
4,0,10,Ruim
1,10,49,Ruim
3,10,5,Bom
2,1,33,Ruim
3,6,37,Ruim
10,3,21,Bom
7,10,22,Bom
5,2,28,Ruim
6,5,47,Ruim
2,8,20,Bom
9,1,43,Ruim
1,1,0,Ruim
6,7,15,Bom
4,8,14,Bom
6,5,27,Ruim
0,6,28,Ruim
1,4,34,Ruim
10,7,36,Ruim
2,1,12,Ruim
9,2,45,Ruim
10,1,39,Ruim
0,1,23,Ruim
5,2,50,Ruim
6,0,10,Ruim
5,2,12,Ruim
0,5,37,Ruim
8,9,48,Ruim
2,4,13,Ruim
8,8,32,Ruim
0,0,18,Ruim
8,10,17,Bom
1,9,37,Ruim
9,3,44,Ruim
3,6,5,Ruim
5,6,18,Bom
10,4,41,Ruim
3,5,46,Ruim
0,4,32,Ruim
7,5,9,Bom
7,10,13,Bom
5,4,1,Ruim
6,3,14,Ruim
9,3,39,Ruim
5,2,25,Ruim
3,3,43,Ruim
4,0,17,Ruim
2,7,46,Ruim
7,2,21,Ruim
7,6,45,Ruim
7,8,23,Bom
7,0,16,Ruim
2,1,4,Ruim
1,10,24,Bom
4,3,21,Ruim
4,10,4,Bom
0,1,50,Ruim
3,6,9,Ruim
10,4,25,Ruim
6,9,48,Ruim
8,3,15,Bom
8,8,48,Ruim
3,4,23,Ruim
8,9,13,Bom
3,2,43,Ruim
1,6,0,Ruim
6,9,41,Ruim
6,10,17,Bom
